bts;nearest;distance
Castelfranco Veneto;Castelminio;5428.10969584757
Bassano del Grappa;La Gusella;676.4054698424089
Casella;Maser;5104.144239947445
Assoro;Nissoria;6521.239831741235
Asti RAI;Mongardino;3600.1652985099354
Baldichieri;Monale;4211.792993456568
Valmairone;Monale;5962.709822936181
Villadeati;Calliano;9532.964480379187
Asti Grattacielo;Baldichieri;5958.277545499767
Monte Pallano;Archi;5842.005501398571
Archi;Atessa Santangelo;5329.026500676989
Atessa;Archi;6989.5176576579015
Montesecco CH;Casalbordino;6595.8555954011845
Lanciano via del Mare;Poggiofiorito;7415.900474200651
Atessa Santangelo;Archi;5329.026500676989
Atina;Alvito;6898.578340815805
Atri Acquedotto;Atri Centro;2229.862256887217
Atri Centro;Atri Acquedotto;2229.862256887217
Colle Marciano;Castilenti Monte Raimondo;2575.258141232662
Montepagano;Atri;5942.614751558116
Castilenti Monte Raimondo;Colle Marciano;2575.258141232662
Notaresco;Castellalto;5235.725845347844
Sicciola;Castilenti Monte Raimondo;4921.86006627757
Montegiove;Bisenti;4340.743527713626
Castellalto;Canzano;2543.2055797081107
Bisenti;Villa Ruzzi;4099.304624483066
Cappelle sul Tavo;Moscufo;6544.367993287623
Attimis INSIEL;Attimis;690.6160607856142
Attimis;Attimis INSIEL;690.6160607856142
Monte Parodi;Monte Verrugoli;1171.2447564542006
Monte Tudaio;Comelico;5933.173160606794
Avegno;Recco Verzemma;2003.0652513210757
Monte Tugio;Gattorna;2095.4215309115825
Baiano Castello;Avella;1235.7334070276283
Avella;Baiano Castello;1235.7334070276283
Nola POP;Roccarainola Tuoro;5652.293283024839
Roccarainola Tuoro;Avella;1481.5395029199365
Quadrelle;Baiano Castello;4622.019925734819
Avellino Pop;Contrada;5523.713378622478
Serino Santo Stefano;San Potito;4662.390858371046
Montemiletto;Montefusco;5195.102540865751
Grottolella;Altavilla Irpina;4320.578493587791
Avezzano;Monte Cimarani;2814.3243594781934
Monte Cimarani;Avezzano;2814.3243594781934
Marsure;Selva di Giais;2978.533993323909
Selva di Giais;Giais;1523.0645550034537
Monte Rena SBT;Monte Rena;34.53176994712448
Monte Misma;Pradalunga;1164.2802941300374
Farno;Farno;175.57949145648647
Farno;Farno;175.57949145648647
Monte Rena;Monte Rena SBT;34.53176994712448
Avigliana;Giaveno Monte;2581.6788427529104
Celle;Villar Dora;2297.8996660065636
Rubiana;Celle;2916.874386786712
Trana;Colletto di Damone;1418.9484558481759
Colletto di Damone;Trana;1418.9484558481759
Colle del Lys;Rubiana;5106.892737523183
Crest;Barmasc;6098.425710714849
Barmasc;Crest;6098.425710714849
Castrezzato;Berlingo;5144.141905671866
Vedetta;Maddalena;2681.1153518320357
Azzano Mella;Capriano del Colle;3049.0643993390745
Devero;Crampiolo;1759.8278250113349
Crodo;Cravegna;1980.8392331804812
Crampiolo;Devero;1759.8278250113349
Monte Cazzola;Devero;1917.1590676895617
Monte Badalucco;Monte Faudo;3121.1338708494345
Castelsardo Monte Ossoni;Castelsardo;4508.520071697687
Badesi;Trinità e Vignola;4631.802075693679
Badia Calavena;Velo Veronese;4051.3157224126126
Badia Polesine;Badia Polesine ZI;3137.626296660842
Castelguglielmo;Fratta Polesine;6284.916673607977
Villa Bartolomea;Terrazzo;3861.468683987923
Sermide;Castelmassa;2435.1009442234567
Badia Polesine ZI;Badia Polesine;3137.626296660842
Badia;Col Alto in Badia;4018.496484088306
Varzi Torrone;Calenzone;6225.707257313444
Giarolo;Rocchetta Ligure;6770.679218273774
Monte Penice;Calenzone;6461.432290890687
Coriola;Cecima;2182.6473846928525
Calcinate;Gorlago;4604.812287283521
Urgnano;Zanica;4348.145778638993
Spirano;Arcene;3662.5907082351123
Colli San Fermo;Casazza alta;2565.5763591794966
Monte Orfano;Adro;3044.311788783843
Bagnatica;Gorlago;3030.9128638701477
Pieve di Controne;Lugliano;4252.997585079426
Lugliano;Borgo Mozzano;2851.054318171083
Montefegatesi;Pieve di Controne;5154.5670014508505
Molazzana;Perpoli;4090.307633063507
Croce di Brancoli;Valdottavo;3835.0816703285086
Compiobbi;Molino Del Piano;4009.3387343839377
Bagno di Romagna;Vessa Radio;8493.441446073775
Vessa Radio;Bagno di Romagna;8493.441446073775
Mantova;Virgilio MN;6512.547175531197
Villimpenta;Nogara;5752.337699168897
Gonzaga;Reggiolo;2911.024989617833
San Biagio MN;Bagnolo San Vito;2746.723438783939
Bagnolo San Vito;San Biagio MN;2746.723438783939
Virgilio MN;San Biagio MN;4485.788030353814
Bagnone;Mulazzo Irola;4065.8388327888724
Maniva;Collio Memmo;6882.304953054696
Bagolino;Storo;5847.589294051162
Storo;Bagolino;5847.589294051162
Baiso;Valestra;5324.059803890588
Valestra;Baiso;5324.059803890588
Cà Giacomone;Prignano sulla Secchia;1968.430621471554
Monfestino;Ospitaletto di Marano;5095.749729113372
Bajardo Municipio;Bignone EIT;4256.108704613681
Perinaldo;Suseneo;3127.125341178789
San Giacomo Camporosso EIT;Peidaigo;2359.5644433698762
Balestrino;Pizzo Cereso;1389.7182519390215
Toirano;Toirano_OLD;10.413186095858203
Toirano_OLD;Toirano;10.413186095858203
Balsorano;Sora;6205.583319365453
Civita d'Antino;Villavallelonga;11241.022325617125
Baragiano;Scalo di Baragiano;682.9520046759521
Scalo di Baragiano;Baragiano;682.9520046759521
Baranello;Vinchiaturo;4523.544677901912
San Paolo;Dello;5422.971233231957
Verolavecchia;San Gervasio;6003.795802751772
Barberino Iride;Monte Cuccoli;3780.6121155809064
Monte Cuccoli;Vernio;3131.746602796405
Bardineto;Monte Lingo;3627.822776590407
Monte Lingo;Bardineto;3627.822776590407
Pione;Tiglio;3058.4447866265714
Santa Giustina;Roncole;1678.5112267801994
Bardi;Pione;6568.359714841329
Roncole;Tiglio;1365.5780513016257
Tiglio;Roncole;1365.5780513016257
Bergazzi;Bardi;7021.009249609
Pareto;Morfasso Bore;6532.709142672919
Moscal;Affi;2413.5974491930706
San Felice del Benaco;Raffa;2439.118282507181
Manerba Crociale;Moniga del Garda;1892.444666807674
Monte Pastello Sud;Monte Pastello Nord;279.51662435568835
Desenzano;Lonato;2330.7377044645054
Lonato Rova;Lonato;2594.4154236544996
Lonato;Desenzano;2330.7377044645054
Prandaglio;Selva Piana;1529.8820640299205
Monte Fraiteve;Pierremenaud;6633.7678072222025
Bardonecchia;Beaulard;7209.830786902346
Bard Nissert;Col de Courtil;4158.18846814403
Bari Sardo;Lanusei Paese;8946.40009747412
Fisciano;Mercato San Severino;3089.420755835758
Barrea;Alfedena;3016.66695112003
Casaline Alta;Corbara;4290.5687207339515
Monte Peglia;Ospedaletto Campanile;2040.4911307684636
Viepri;Monte Martano;4854.647244308539
Corbara;Casaline Alta;4290.5687207339515
Paganella;Cima Roda;758.3021256175583
Baselga;Fornace;1722.2884222786472
Bassano del Grappa PoP;Valrovina;4557.659376307109
La Gusella;Bassano del Grappa;676.4054698424089
Crespano;Possagno Tempio;5302.267286592842
Mussolente;Rosà;5102.7993123529905
Madonna della Quercia;Bomarzo;5169.144093861826
Bomarzo;Madonna della Quercia;5169.144093861826
Soriano;Canepina;3779.3825139658184
La Troscia;Taizzano Terrazza;7718.979577955292
Fabrica di Roma;Canepina;6941.0650017963435
Taizzano Centro;Taizzano Terrazza;385.5157900162711
Monte Fogliano;Poggio Nibbio PoP;4464.984743093418
Poggio Nibbio PoP;Monte Fogliano;4464.984743093418
Bassano Romano;Trevignano;7238.05807808596
Cervesina;Bastida Pancarana;5251.693374774821
Casatisma;Frecciarossa;5466.1119145713155
Dorno;Carbonara Ticino;6625.901485832468
Santa Giuletta;Pietra de Giorgi;3355.902819257577
Pavia;Carbonara Ticino;8836.156194675055
Pietra de Giorgi;Montarzolo;2967.7048701729727
Broni;Montebruciato;1585.5116157676382
Garlassolo;Godiasco;4601.181962540889
Costa Grossa;Pietra de Giorgi;3272.68611593381
Montebruciato;Colombara Canneto Pavese;407.6371822653556
Colombara Canneto Pavese;Montebruciato;407.6371822653556
Alagna Nord;Garlasco;3368.4608826284193
Bastida Pancarana;Cervesina;5251.693374774821
Santa Tecla;Giffoni Valle Piana;4454.622311311704
Baucina;Ciminna;4758.209260004389
Cefala Diana;Mezzojuso;4092.8023915879885
Bedizzole;Bedizzole Centro;3290.3452408714547
Nuvolera;Bedizzole Centro;2885.027347972724
Mazzano;Nuvolera;3340.953795178584
Serle;Vallio Terme;3663.4580116370507
Maddalena;Salena;2300.2180422225338
Bedizzole Centro;Nuvolera;2885.027347972724
Calcinato;Bedizzole Centro;4356.846319466783
Bedollo;Baselga;6616.517066211193
Alpe;Strepeto;2297.562325977623
Strepeto;Alpe;2297.562325977623
